,positive,neutral,negative
304,"Disappointed because I thought there was more color, and the colors are dark and a little flashy for me",garbage somehow did not come anywhere,Freza bragged came... You can not use it
305,"Corresponds to the description, arrived quickly",Quality for the price,"Does not correspond to the description, generally useless, only throw away, which was done"
306,Perfect Fast,Still not received,"Not great, gives a feeling of cut, I do not think it is ceramic since it heats and my other ceramic tips do not heat"
307,Seems pretty accurate. Material is slightly thinner than expected but the zipper works and I can easily use them. I received all of them and I’m happy with the product,Poor quality,The goods did not reach (most likely our mail lost
308,Product complies with the description arrived in time recommend it absolutely ordinerò New,The goods did not come,"I decided to order the given seller, because there was a lot of good reviews and it is on how quickly orders came for two weeks. I ordered December 30 and also thought that come for two weeks or a month. As a result, the order went two and a half months, I will never order from this seller."
309,great,ok,I did not come the milling cutter I ordered. Came with a red insect-ordered with blue
310,Just as expected!,.,"Freza came not very comfortable, not what I ordered, very rude. I didn't like it."
311,"incredibly fast shipping 
well packaged and organized 
looking forward to work with it",Item was never received,"To my device does not fit at all, money to the wind"
312,Very satisfied with the product. He arrived fast. Pleasantly surprised to see that the closure has both stops. They look pretty solid. I recommend,"Sent and came quickly in two weeks, looks bad quality, money to the wind",The goods did not come the seller returned the money
313,So beautiful and good quality. Thank you very much so beautiful and good quality. Thank you very much so beautiful and good quality. Thank you very much,Goods compliant opisałem After two weeks fitness almost all OK Three stars because that counter tens zacina up,"Stump curve, pratzyuvati is not real."
314,"A closure is defective. Out of 100 closures ordered and received, only one has a defect. I am generally satisfied with my purchases that are of very good quality! I recommend this shop!","Delivered quickly, but unfortunately Noah maximum effort he is not at all 60 kg, a maximum of 35 kg. The handle is small, it would be 1 cm longer and it would be excellent, and so only for a hand a maximum of medium size. I have been using it for about a week, mostly at the maximum, while it holds, but I'm not sure that it will last so long.",not good quality
315,It says gold but it is more yellow. Still nice but not gold.,Device is rather small. Would have helped if actual measurements we're given in description. Picture in description shows person with rather small hand. Stark contrast to mine:,The goods didn't come. Money returned
316,"Good quality product but a zipper does not have the opening stop.
Otherwise the product is very good.","It is indicated 60 kg, but it is not true. Maximum 40-45kg. And so the rules of Espander for your money","Terrible milling cutter, does not remove gel-lacquer"
317,"Sadly I didn’t get the order, but the seller refund the money. Good experience even tho I didn’t get the product itself. I didn’t otherwise communicate with the seller.",fell apart in first hour of reciving,"Does not work, do not order"
318,"Good But Ordered 10pcs Received 8.
Good product but ordered 10 pieces received 8 ...",Strengthen not 60 kg,"The goods never came, the dispute can not be opened, not a fair seller"
319,"Very fast shipping, only12 days at LV, , but I receive 9pcs,not 10.",Family of Product,I did not receive
320,"Product arrived in no time, 10 PCs of different colors, perfect!",Good,never got it
321,Zipper width smaller than pictured.  All work well.,"It's been a long time. Expander is not 60 kg, here is a maximum of 10-20. Very inaccurate squeeze force.","Cutters did not come, it's been 4 months"
322,Just received the order in relay POINT while I had asked my address,"Ok. Looks very fragile, does not look very resistant, to see on the long therm ....",Did not come
323,Very good quality zippers! There are 10 units with random color. I recommend it!,"I expected better at the level of quality. At the first pressure, the movement is not fluid. His grip. Disappointed, it's a shame...",Not good 
324,"The colors are not as vivid as the photo. But they serve me, anyway.",I did not think he was going to be all black but he largely does the trick for his price,Order did not come
325,"Perfect transaction: (1) 10 days to the US; (2) bright, colorful, and well-made zippers -- I have ordered many different sizes and colors, and am very pleased with all of them; (3) zippers match photos and descriptions; and (4) secure packaging. Thanks, Seller -- I wish that all purchases were this seamless and worry-free. ",Good,It does not cut away the nail. stroking nail
326,"They arrived in time and well protected, they are as shown in the image, I recommend the seller, thank you.",Perfect,This product does not come. money back
327,"Delivery for about a month. Lightning are excellent, flat, colored. Fully complies with the description and photo of the seller.",Perfect conform to the picture,The goods did not come. The money was not returned.
328,"Excellent quality.
Fast shipping
Product conforms to the description
I think to recommend quickly
Very good seller",Well received my after 5 cut his stuck dc to see how your will be me not top,I did not receive the goods after 2 months
329,"Just super! !! The order made on March 13-
On April 3, the courier brought home. thank you very much to the seller. 10. I recommend very much. the zippers are excellent.",All right! The guillotine is not very fluid but correct. More than trying,"Not very much, I did not like the work."
330,"Love it! they are just the right length, and they work very well.","The spring does not come back, a little disappointed but cups anyway",Quality is bad. Enough for once.
331,Excellent and fast shipping! Will definitely buy again! Thanks,"The nail cutting at a small defect, the blade is a little through",I not come home and not returned my money
332,Arrived today. I’m very happy with my purchase and will buy more,is not the best quality but does the job,Not a working spout!!! Only the middle works
333,Super zippers shipping was super fast☺️,"Too rigid to use, the tool is stuck",Was not to my liking.
334,"Ordered 12/03 - Delivered 19/04.
Ordered mixed 10pieces, 60cm.
Am happy with the delivered colors: Black, white and grey are the basics, and then a good mix of bright and lighter colours.
Total length is +/- 63 cm; length of zipper itself is a bit shorter than 60 cm, but is ok.
Zippers are non-divisible, and visible.

Would recommend!

","very little solid object, arrived slightly twisted",Order is not delivered. The money was returned.
335,"I thought I multicolor ordered had but only have 1 color got, which is a shame. They are pretty good quality and slightly longer than expected. Delivered faster than said.",Works poorly,I never received my order 
336,"Beautiful colors, just like the description.",BOF Quality,I came the wrong item
337,They're like the description says.,Cut very well but it's toc.,the goods do not come
338,ok,"Boof
",It is not
339,Conform to the description,Not very good quality,They did not return money for 3 months.
340,Great closure and good quality,No very good quality,"Disgusting, I ordered two cutters, no one came and did not return the money. The parcel was not tracked."
341,Three well satisfied,No good quality,Nothing has come
342,"Perfect according to the description
Thank you",good,Nothing has come
343,Good quality/price.,thank you,Not accept the invitation and did not allow me to open a dispute before the expiration time of arrival simply disgusting liars and thieves! Not recommended !!!!!!
344,Color conforms to the picture,...,"I did not receive the goods. The seller refused to return the money. Ali decided to dispute in favor of the seller. As a result, I did not receive any goods or money."
345,Thank you very much for the colors! Perfect and fast,good,"The goods did not come, the money was returned"
346,"Arrived in Italy in 10 days!
Article that respects the description",The color of the laces is non-white black as picture but stocking good fabric not particularly great.,The goods didn't come. Money returned
347,"Perfect, I will remake an order with other colors it is exactly what I wanted and 15cm it is the size of the opening. Great!","This hair was great for the price I would probably order again unless I find something better. It was a little thin compared to the 12in bundles I’m used to but if you use all 3 bundles you’ll get the fullness you want. I ordered 3x12 inch bundles and  a 12 inch HD frontal, but AFTER I placed my order the seller told me that they do not have anymore 12 inch HD lace formals so either I had to pay an extra $37 for a 12inch  brown lace or a 16 inch HD lace frontal, which to me was unprofessional because of you don’t have the product why would you still have item up. But other than than that the hair was overall great for the price:",Goods didn't come
348,"Zippers in working condition, colors are all running. I'm happy with the purchase!","the lengt of the frontal I orderd... was 20 inch i got 17 inch.
the end of the hair are so thin its better to not buy lengt over 22 inch...
I bought three bundels and the ens where so thin I look like a fool... I needed to cut the little strengts  that mean to be 26 inc.
I tried te reason al the do is promis the will help you but you.need to leave a 5 star feed back first
..... but when you do that you close the buy.... and they are done with you.",Very long walked order
349,"Very good zippers, pretty colors, delivery took less than two weeks",The hair doesn’t bleach well had to bleach multiple times hair doesn’t get bone straight but it is decent hair the bundles are thick,"the goods do not come, the money is not returned"
350,Very happy with my ten zippers.,"This shop is deceiving people. The frontal is 13×2.5. They have not put that specifications there because they know it will stop people from buying. The hair itself is good but the frontal ruins everything. I can't even style the hair because the frontal partition is too short. All the same, shipping was snappy.",removes shilak very bad
351,Will order again for sure!!! Such pretty colors and all are in good condition,lace was super dark,The goods have not come
352,"accurate to description, color difer a bit the blue is lighter then in the picture","I asked for a transparent tulle but I received a lightly brown tulle, good it goes with my carnation but good I pay 193Euros to have what I wanted","Too big, i dont like"
353,"The goods are satisfied, the zippers are not rude. Seller recommend.","Very badly packed, only in one bag. Because of such packing broke the roller",The milling cutter is not very
354,Looks good quality. I haven't sewn them yet,"Looks like Boo. Pozarapano, it's broken, chips, traces of glue, unpleasant.",Very small
355,Nice color to see the quality,It came broken. Probably bad packaging. Delivered fast,"The order did not come, the seller does not recommend, waited for 90 days, so the dispute asked to cancel!"
356,the zipper part is only 6 cm,"The color is very beautiful, but the roller came in disassembled form. The bottom was slightly adjusted, but the top is not. Very sorry","The goods did not come, ordered in February, today May 5. 3 months"
357,Just the size I needed,Arrived so quickly! This is plastic not real stone/ crystal,"The order did not receive, the money does not return ((((insulting, the seller does not advise"
358,Good product,"I thought it was made out of a rock, but it's made out of plastic","My order came with a product that I did not order. The seller refused to return the money. Led a long correspondence with the seller, remained"
359,Top,"I expected them to be heavier. Delivery is fast, nothing broke during transportation","It's been 4 months, no goods, no money. The dispute was closed. Very sorry."
360,good,"Not a stone! A piece of plastic. Everything came in disassembled form, and most likely because of the delivery. It was packed just in a bag, without any protection. In parallel I ordered to another seller, 0,50 $ more expensive-the packing is good and the stone, not this fake.","Goods No, dispute open don't give, writes the seller 2 days before the end of the protection period that made the delivery.
Deception"
361,got only 9,"It came broken, scraper with scratches",I can not yet say something I still have not received the goods
362,delivered within 3 weeks,It's plastic. Too bad.,"All the terms expired, the goods did not receive, opened a dispute, the seller refused and the refund .."
363,All good.,Its a plastik no stone :(,"The goods never came, they did not return the money. Even the defense has not extended"
364,Very good,Hard and pure plastic a burria,The product did not arrive. The money was not returned! the seller does not recommend!
365,High quality zips. All functioning. Did not communicate with seller,When i use the roller it makes annoying noices.,Very long went the goods
366,Good zipper. Less than a month. Track tracked,The roller material is more like plastic,Goods didn't come
367,Very happy with my zipper order. Colours are accurately represented. Fast service.,Norms,It does not remove pokoytie
368,"Lightning as in the description. No smell. Stretch well. Seller Thank you! The goods came in fast delivery, was combined with other goods. I recommend the goods and the seller!","In the photo, the goods with a box, came without, not like a natural stone",Not denied
369,"Fast delivery, they arrive fast, very nice color. I highly recommend and I will recommend with them it's for sure!",Looks like the picture the gua sha is good but the roller all it does is make noise so happy with the gua sha but not so much with the roller other than the noise it is fine,Not yakysniy goods
370,The Samara region was reached in a couple of weeks. Secret zippers are good,"It's as described, good quality, but it came to me broken",It's not like in the picture.
371,"Good zippers.
That's for sure. Fast. The seller is happy.",not do good quality and the roller squeeks when used,Very long waited for the goods
372,I got the product quite fast. I still did not use. Thanks to the product and thanks to the seller.,They are pieces of plastic is not good for making masages worth spending a little more money than buying this piece of plastic,Some fragile
373,Very happy compliant product and very quickly received recommend this seller,"If in the description was immediately read that it is not pink quartz, but resin, it would be better .. Although what quartz for such money ..",The goods have not come
374,"Cute, match the description. Fast shipment.","For 13zloty cool image, but very plastic and thin Kamien",No blue insect
375,All good thank you.,one stone in the roller is missing,"I can not say anything, because the goods did not get well that at least the money was returned."
376,super,Received without box. Everything is broken,"Do you have, but the goods have not arrived at the track tracking shows that the product is successfully delivered wondering who received it instead of me."
377,Very good,Little creaks,I have ordered them for almost more than 4months and still haven’t gotten them!!! I asked for refund and still waiting! Hope they refund the 3 orders!!
378,"You're good quality, same as in store, taken several colors, black, red, burgundy, white, gray, 10 pieces in good condition I recommend and I would take several colors again! Arrive very very quickly not even two weeks!",Came for a week later,"Not money, not goods .. waste of time waiting 3 months"
379,"You're good quality, such as in the store, caught several colors, black, red, burgundy, white, gray, 10 pieces in good condition I recommend and I would take several colors again! Arriving very quickly in the same way two weeks!",No stone at all...,"I waited three months, did not wait. A dispute is open now."
380,"You're good quality, same as in store, taken several colors, black, red, burgundy, white, gray, 10 pieces in good condition I recommend and I would take several colors again! Arrive very very quickly not even two weeks!",He's so small!,"The goods were delivered for a long time, from the very beginning the tracking number was not correct. I didn't. A month later, I found an open, smoky and empty envelope in my mailbox. The goods were stolen and put in a box. It is in Israel, it is either postal workers, or kind neighbors around the house. Therefore, I was not informed about the arrival of the parcel, did not notify to come and received at the point. Pidages and swallows!"
381,Super,"Plastic, not a stone",Three months of soaring the brain. The goods did not receive. Opened a dispute-the money was returned
382,Got the right amount. Seems to be really really good quality at a cheap cost !,I haven't is it yet. but this item seems kind of cheap and less solid than I imagined. I'm still shopping for a decent set.,The order did not receive (it is written that the order is executed and on the mail they say the order did not have them) ((opened the dispute the money was not returned.
383,really loved  it... very satisfy and I also recommend this shop,"Unfortunately, the goods came broken, delivery pleases was fast,","22.12 ordered but never arrived goods 16.02 almost two months have passed, but the goods have not been sent, sorry"
384,"Fine! What you see is what you get...
Delicious many zippers for little money.","Is plastic, not jade stone, the smallest came out, is cute and arrives faster but I'm not satisfied at all.","The parcel never came, the money did not return, the seller did not answer any message, disgusting service, do not order from this fraud!!!!"
385,"It took very little time, just over 2 weeks to arrive in chile ( 18 days). I'm happy!","Not bad, though the roller creaks
Naturally this is not a stone, ordinary glass, but still not bad, the only negative is the squeak of the roller",Quality is terrible
386,"Thank you for the goods, everything is super, but somewhere everything was lost on the pochts","The item arrived earlier than expected, but the roller and scraper are both made of a hard plastic rather than the expected stone. However, both still get the job done and the price is significantly better than other options out there. ",Never received the product.
387,"Excellent zipper and the right size. We in the city could not find a regular zipper 25 cm. The parcel went 3 weeks. To the seller Thank you that other my orders from this store made that day, put in one parcel.",Goods came broken,Good but very small
388,I'm excited. For the Czech Republic for less than two weeks. Them goods quality. I definitely order again.,"I thought it was made out of a rock, but it's made out of plastic",Not clean so well
389,"Very satisfied with my purchase. No discussion with the seller, but no need. I highly recommend.","The quality is super cheap and bad, I expected something better",Freza pulls on yellow.
390,Random colors but all different. Fast shipping!,kk,Low product quality
391,"The zippers look good, the threads aren't coming apart and I got all different colors. Haven't used them in a project as I just opened the package. It arrived in a bit over a month to Slovenia.",Pattern is different than ordered. It's nice but that's not what I wanted,The boxes came empty
392,like description. took One month to arrive,A little smaller than I thought. But my dog looks super good,Not came the goods (
393,"Order of 2 May delivered on 15 May
Nice quality products
Serious seller",The necklace is pretty but the plastic is really cheap and the scarf is too rigid,Goods did not receive
394,"Order of 2 May delivered on 15 May
Nice quality products
Serious seller","Be careful, S smaller than normal. But refund made",Did not receive
395,Very good product ordered by 10 units received 9,"It says size s but unfortunately it's way too small. It says for small dogs, but the size s will only fit a chihuahua or similar sized dog (which frankly should be the xs). Size up if you're thinking of buying one for your pet.

The design looks really cute though and the quality seems ok.","The goods could not receive, the money was refused to return, and the seller himself noted that the goods were received-I'm shocked"
396,The black zippers running what non-slippery.,Way too small for any dog sadly,"The order did not come, the seller first said to open a dispute, then refused it himself, AliExpress made a decision in my favor and the money was returned."
397,Compliant. Quick delivery,"I asked for the same size for the two bandanas but this one was smaller than the other I asked for, I was lucky that the collar strap is not sewn and can be exchanged with the other",The goods did not receive a dispute closed the seller money did not return. I do not advise to order.
398,Well received,Should be black collar not light brown,seller features were fooled and did not even sent.
399,good product,The fabric is good but the necklace much less,The goods are lost. Please reply me help to find. So wanted to get your cutters
400,It's all perfect.,nice fits perfectly,"never received my order, opened a dipsute but aliexpress stepped in and sent refund"
401,Good product,listing names are wrong,"The goods never came, despite the very long waiting. The seller only asked to cancel the dispute and wait further."
402,Fast delivery time for impeccable products,Very small,"Goods for me not dojechał, finished the time ""delivery"", after napisaniu to seller that still I have no shipping-not odpisuje..."
403,"The goods were sent out quickly, Poland came in 20 days. Everything corresponds to the description. Recommend.",Small,"The item is not received!! Why then should the delivered status!
the goods are not delivered. Seller has closed the order itself"
404,Zippers correspond to the description. Fast delivery to Moscow 10 days. Seller recommend,"Attention, S too small than normal but seller refund","Already two months that bought the product and until now not arrived, very unhappy."
405,Zippers look great true to color not cheap of flimsy,"Seller send wrong color (ordered red -> get dark blue). But the material is very good , thick, nice print",about my experience truth takes demaciado in shipments after within 2 or 3 months get things and to scrub bad miss why you are having to products I'd q were sinseros in q do and they work because ay many people q if we have more things to pay and Nomás
406,Great. I 've bought other times and I'll keep buying. I recommend it!,The fabric is good but the necklace much less,"Sewn terribly, the front part sagging from sides to tickles."
407,Received the item in good condition. Completely satisfied. Buying from this seller is recommended.,It seems like a bird nest.,good
408,shipped super fast and good price thank you very much!,not exactly like pic,Fu quality
409,"One pair zippers are dirty, which is a shame. I hope I clean them get. White is a dangerous color.","Description was: price/lot (2 Pair), only one pair arrived.",hehe
410,Received in a week. They're very good. Perfect!,"They are good quality, the only problem was I was sent the wrong colors, can't really complain much just wished it was correct.",I didn't receive this item
411,The order came very quickly only that we were wrong about the purchase were open zipper for sports tricota. And don't look at that detail. But everything ok,"There are defects along the entire length, as in the photo.",Hood much too big
412,Good product,DIJAL SCHWIDKO. Yakyust MID. AT 30 METRIV 2 Defects,He's okay.
413,Good product,"Ordered a dark gray, came another color, namely, swamp green.",I have not got the product
414,delivered within 3 weeks.,"Colors in picture were not very accurate to real life. Good enough for me, but the pictures should be redone.",I have not received this item.
415,30 cm worked well,perfect,Never arrived
416,super,Rather low quality.,"Does not match the size! Ordered one diameter, 1,5mm, two kinds. Package with black bigger diameter, 2mm, and with gold very small, just twice as many black. What is the point of announcing different sizes of goods, if still does not match!?"
417,Sending for France received in less than 15 days. very happy. Nice color. To see the wear resistance. But very satisfied for the moment.,"its not a paracord or milspec. just ordinary tent rope line. do not use for climbing or for any strenuous load, perhaps suitable just for hanging laundry or tent guideline",Article still not received error from me
418,Great item. Very fast delivery. All the zips work! Win!,"Nothing. Whatever you call the rope, it will remain a rope, in Leroy to pop in and take what you need, not wait a month.",I never get there
419,Nice and will be great for doll hoodie.  Will definitely order in black.,"Ordered orange, received black.
Otherwise, product appears to be ok","One of the dimensions of this color do not put in the parcel and demanded proof of the lack of, well, well .. it in the mail from the packed parcels someone took it one bag and then carefully packaged, and I have to prove to the dispute that I did not get it . It seems in this store is the norm."
420,"The measurements are accurate, the very nice colors and open and close perfectly.","Thin, linen rope, not rap cord",did not came
421,"zippers as in the description, good quality for the price.",Classic rope. I don't see it very tough.,I never received this package
422,"Very good closures, they are pretty and look good qualities.",Well-received thank you,Very small
423,"He's arrived in a week. Excellent quality, highly recommended.",Took a long time to be delivered,Never seen
424,"Received in 8 days, extremely fast delivery. Thank you very much. It fits my expectations.",ㅇ ㅇ,no comming
425,"Everything is super, very fast delivery. Thank you",A very thin cord. The photo looks thicker.,.
426,"They have very good quality, just like. The ones sold in the mercerias","Good quality, very short.",Article still not received error from me
427,"It came in three days, corresponds to the description. Immediately began to use and charged two phones Redmi 6 and Honor 9. While I'm happy, I'll complement if there are problems.",The cord was very thin,I never get there
428,"The goods are quality, fully consistent with the description. Delivery is fast, packing is reliable. Recommended seller and his chic shop of the best goods.","looks brighter , but solved it","poor, I never came"
429,Shipping was so fast.,.,I never get there
430,"The bank itself works normally, from the minuses of a long delivery of 65 days, the box was damaged, the packing is not reliable, mixed in places of exits 1 a and 2.1,","Asked 147, got 148","One of the sizes of this color did not put in the parcel at all, requiring proof of absence, well, well .. It was in the mail from the packed parcel that someone took out just one bag and again neatly wrapped, and I must prove in the dispute that I did not have a bag. Looks like this store is Norma."
431,"Good power bank.
The capacity is close to the declared, charges 2 times the phone.
Rough. Conveniently lies in the hand.
Recommend.","In the picture and in real life are different, not what I expected. Quality expected better. Paracord, some kind of not even, the cord is a harmonica.","One of the sizes of this color did not put in the parcel at all, requiring proof of absence, well, well .. It was in the mail from the packed parcel that someone took out just one bag and again neatly wrapped, and I must prove in the dispute that I did not have a bag. Looks like this store is Norma."
432,"Out of 4, one came a jamb. But the seller did get the money back.","I ordered a white and purple red one, I got a blue with white. Delivery was very fast.",did not came
433,"I ordered the first time and everything worked fine until now, but when I ordered another one, he came with a swollen battery, but that he pleases the seller immediately returned the money, because This is by chance that I don't hold the goods with a defect on the seller, it is not guilty.","MSC 12 days. Slightly stinks, did not check for strength. Ordered a special color from the palette, put just red.",did not came
434,Inexpensive reliable paverbank! Thank you to the seller) the box came crumpled.,"In the picture and in real life are different, not what I expected. Quality expected better. Let's see how it will be in the weave.",Poor quality -- size mismatch
435,"The goods are not bad, but went a long time, already opened a dispute, but the seller asked to close, as he said that the goods are delayed not by his fault, shorter, if then forward!!!)","In the picture and in real life are different, not what I expected ..... expected the best. Paracord, some kind of not even, the cord is a harmonica.",did not came
436,"It's like a good powerbank. Looks good, pleasant to the touch. Arrived charged about 70%. Charges and himself charges quickly, but it is heated (not to hot, but becomes palpably warm). Delivery is very fast.",Been There is a futon,I never received this package
437,"Goods doszedł unfortunately fault Mail late but nonetheless, packed well","100mm is too small. Not fixed due to a small bending radius. If you buy, then the minimum length is 150mm.",I never received this package
438,"The product corresponds to the description. My daughter is very pleased with the bank. The only thing failed the delivery took about two months, and so everything is OK. Order the bank will not regret.",They took too long,I never received this package
439,"Ordered 2 PCs All right. The goods correspond to the description. I want to ask for packaging better. One box broke. It will not be nice if the goods come broken. Black wire at the White battery? Are you serious? Where's the aesthetics? Do not kill what everyone appreciates, this is the harmony of color. These two points improve and will be 5, and so 4. for good, improve quality.",Ola customized,The product does not match the description. I ordered a wireless device. The one I received is wired.
440,Ordered from Russia brought in two days works infects normally,thanks,The device I installed the switchboard does not work Thanks
441,Is working,Very good,"The seller knowingly deceives: ordered 2 sets of parktronics, in one set the seller instead of the screen put just a squeak, in the photo, I do not open a dispute, I do not see the point, I put 1 star for cheating!"
442,"Came discharged, I connected silence to charging, left, after min 10-15 I began to charge charging, acknowledges such a topic, let's see what it wakes up,",very,The product has arrived damaged
443,Very long delivery. The battery does not measure the parameters.,"Well it came to me with fail, I haven't opened a dispute for days, and they haven't fixed me yet. See if they do.","Did not come, the seller is, the refund barely knocked out. Him with that approach."
444,"Came in about 3 weeks. Charged on 3 of 4x. Quite light and compact. Small volume, but what to do. Until I checked the real capacity.",Not work with all alarms,"Waited 2 months and he even from China did not leave, opened the dispute money returned"
445,"10000 as stated there is no maximum 6000, but for such a price in principle norms!",Plugs that seem of good quality unfortunately two steps of screws on two plugs are poorly machined,Waited for the order for more than three months and received back money through a dispute. The track never came out of China.
446,"Only the phone is charged, the headphones do not want to burn, turns off.",Received but I order in black I received Green .... After discussion with the seller he refunds me waste of time anyway ....,"To this day, the goods have not been delivered to me, but the seller has made a deal and everything is ok ... But I have not received the goods to this day and I do not have any money."
447,2612.20 received 5.02.21. packed perfectly not crumpled... I'm happy to work. I recommend it to the seller.,Do not have the seal internata.,"The equipment not works, ugly damaged"
448,"Description corresponds, went discharged, delivery is long, almost 2 months.",Thanks,I have not received the power cable connection
449,"A good portable battery, it itself charges, the device charges, the ports are ""tight"" enough. To the Kemerovo region went about 2 months because of the new year. The seller is sociable, explained that the reason for the delay in customs",.,Brands in pu
450,"received an order in St. Petersburg for 5 days, delivered by courier, it seems to work, input - micro USB, output two: 1a and 2,1A, there is a diode charge indicator (4 diode)","Woks not so good, as showen in Video.",I didn't get the monitor. I hope they send it to me.
451,"Delivery is fast, tracked. Good believe bank, its function performs.",ok,Shipped cancel..money not back
452,"waited more than 2 months, but I got it and satisfied ",Quality mediocre,Waited 3 months .... the goods did not come.
453,"Fast delivery, ordered April 10 from Russia, the courier delivered today in the morning, generally satisfied, packed perfectly and looks very nice",It's a little small.,The goods have not received
454,"Yay! The order reached in 2 months! For batteries, it's normal. Перевоз Avio batteries are prohibited by transport. Here is a laptop or smartphone this please, and the battery can not be!? I'm very glad that the order came because the last 5 orders did not reach. Now about the goods. The packing is not broken, the instructions are not, only the wire is 20 cm. For 680 rubles is quite normal. One input for charge and two output 1A and 2,1 A. Indicator (4 diodes) charge controller. In the capacity to say nothing is the first charge. In general, power bank is worth its money! Recommend!",The color does not really match rose gold,Not with a double from the phone.
455,Pleasantly surprised by the product and arrived really in advance before the estimated delivery date,Not good protection,Total bullshit. Proga sucks the battery on the phone only on Hurray.
456,"I have not used it yet, but it seems that everything has come well charged",medium finish,it starts bipping randomly in the middle of the night!!!!!!!!
457,"Everything works, delivery instant, but very hard, straight cobblestone.",Bizarre color!,Starts beeping as soon as the device loses the blouetooth connection. Not really useful and very disturbing
458,"Ordered 13.12.2020
Received at the Mail 01.03.2021
Kapets long, although the first time ordered, received after 2-3 weeks and then went to the SDEC","Beautiful, small, perfect. It just takes too long to arrive. ",I figured it would be two piece. But is only one piece. Bad description. The function I haven't tested.
459,"The goods came but for a very long time I had to wait, two and a half months just tinplate and it's very bad.",It broke the day of,"not really GPS, only a Bluetooth device, few meter far will lost connection. Can only use for close thing, my phone cannot success connect the product, the app freeze after ""connecting"". I'm using P30, seller response fast and try solve the problem on this product, but I follow what he said, still no use. Shipping quick. Aliexpress refund me, thx."
460,"When charging, the power bank case heats up very much and stinks with plastic.",Not quite what I expected.,On the picture it looks like there will be two tags in the order. Only receiving 1. Picture is from front and back of the tag. No battery included.
461,"While working, but the second time would not have ordered. Delivery is very long.",Beautiful I recommend,"Upset, in the description there was a GPS tracker, and in fact a keychain for finding keys in the apartment"
462,"Went for more than 2 months. And as it turned out, it's not 10 mAh, but 6200, but I'm happy with the order.",It is very small,"didn't come with battery so don't.kmow if they work
 not impressed"
463,"From order, to receive 6 days!",nt yet received it,The product does not work .. He came without battery .. It's been 30 days to get to Morocco.
464,The goods are more than one month faster than the specified period,If this item is real leather which mostly are not then I would have been happy as I didnot receive my parcel I would not know,the product does not work
465,"Well, very long delivery ....",Stinks its money is not worth it,It doesn't bring the battery included. The description said it brings it
466,The goods never came. The money was returned.,"The parcel did not receive, than very upset (((((The parcel is not correct! I ordered mail, but stuck at customs. 3 months waiting for wasted! Thank you for getting the money back","Three months and product still in transit, I requested refund and the seller refused. I finally got refund thanks to Aliexpress service."
467,Looks just like the picture. Is heavy. Arrived in a month.,"It doesn't look like bad Fabric. But I 'd like them to be a little tighter. I'm a woman and I have thin arms, and the sleeve is a little loose.","The goods waited a long time, today came and does not work!!!!"
468,"Goods received. Everything is well packed. Charged half. Went very long, almost 3 months.","They just send one and don't expect one that.
The quality of the exelent mesh and does not cut it with a knife.","product received , but it is not warking. please refund my money"
469,"I drove the parcel for a long time, 2 months. But in the end, everything came intact. Thank you!","The product has arrived whole .. Delivery, very long 2 months that is very bad, the box is crumpled .. Very sad product works. I put 3 balls for a long delivery.",Order didnt work well and when i ask for refund they didn't do that. First and last order. NO MORE!!!
470,"Packed perfectly. kind of good. The capacity did not exactly measure, it was charged for 8 hours by phone charging. The charge in the phone gives out normally. Good product. Recommend.","It's not exactly what I expected: it doesn't have much power, it just serves to foaming the milk and it still costs and my hand gets tired, I 've tried to beat an egg and nothing-easier and faster with a fork. So disappointed.","To use it, kindelf has to be installed. It is buggy and unable to connect. I am unable to use this product.  Seller tried to help but no use."
471,"Delivery to Nizhny Novgorod went 40 days, the long, the goods correspond to, all the whole is unharmed, the only one yield 2.1 and a different output 1 and this does not please, everything is left for 5, it charges well, and keeps it too good out of 10,000 thousand in it 9700",The packaging was crumpled. It is impossible to unscrew the second screw.,Does not work with Android and huge issues with Iphone
472,"Slightly more than 12 mini. Features like, thin, comfortable",Foaming milk is weak in general for a very long time waited for more and sadly foams,iOS app is awful. It DOES NOT take trace when key finder disconnects. So it’s useless. I hope for an App update but ...
473,"Very good.It has full battery, very fast  charging. Recommend",Is not sensational but will give advice lather milk. Do not like it that you need odkręcać screw to insert batteries and with a close and dokręceniu poorly vibrating. Second time not buy.,"Slow shipping, the item is not worth because the alarm is not strong and is noted"
474,Good charger. Came fully charged. I immediately put it in business,The rod was bent and the packaging deteriorated.,They are scammers because they perform the photographic assembly to infuse the buyer error
475,I order a second time. Very comfortable. Thank! Despite the fact that he was very delayed because of the pandemic (88 days went) came the charged)) worried that the battery would die.,"The product took about a month to arrive. It works very well, although it has a difficulty, and it's just that to put the batteries on it you have to screw it up and it's a little hard to get the batteries in and The rest of it has a lot of power and it makes a lot of foam.",not connected via Bluetooth to any mobile xaomi
476,"the order came quickly, packed well, everything works, the seller recommended","The package came in broken, and covered with e-cigarette fluid. Opening it was a frankly unpleasant experience. Bat, but it doesn't have much power so‍♀️",It's very complicated to connect the gps
477,I'm very satisfied,weak item,It doesn’t show after 5 mtr . It’s Bluetooth device only no go’s tracking 
478,The goods went for a very long time.,It has come in very bad shape,When ordering in the picture two pieces and came one piece is not order
479,Ordered 11.11 came 22.01,He's missing the instructions on how to put the batteries. This is the tuntún.,"Just Bluetooth use distance this dish.
Can be used without the shows. ㅎ ㅎ ㅍ"
